description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
93% LEAN 7% FAT GROUND TURKEY,Branded,400.0,7.5,65.0,11.2,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN 7% FAT GROUND TURKEY,Branded,400.0,7.5,62.5,11.2,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN 7% FAT GROUND TURKEY,Branded,400.0,7.5,65.0,11.2,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN 7% FAT GROUND TURKEY,Branded,395.0,9.3,60.5,14.0,2.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN 7% FAT LEAN GROUND BEEF,Branded,350.0,5.0,77.5,1.25,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN 7% FAT SEASONED  FRESH TURKEY PATTIES,Branded,400.0,7.5,65.0,11.2,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN GROUND TURKEY,Branded,400.0,7.5,62.5,11.2,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN GROUND TURKEY,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT FRESH GROUND TURKEY,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,333.0,10.0,70.0,1.67,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN | 7% FAT GROUND TURKEY,Branded,500.0,0.0,100.0,0.0,0.8,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
93% LEAN | 7% FAT GROUND TURKEY,Branded,6.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,2.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,350.0,7.5,72.5,3.75,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN | 7% FAT GROUND TURKEY,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,11.0,0.49,0.49,0.61,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN | 7% FAT GROUND TURKEY,Branded,139.0,0.0,33.3,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
93% LEAN | 7% FAT TURKEY BURGER PATTIES,Branded,500.0,6.25,62.5,25.0,0.0,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"93% LEAN | 7% FAT TURKEY BURGER PATTIES, TURKEY",Branded,500.0,6.25,62.5,25.0,0.0,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
93% LEAN | 7% FAT TURKEY PATTIES,Branded,37.0,1.65,8.26,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"93% LEAN, 7% FAT GROUND TURKEY",Branded,52.0,0.0,12.1,0.0,3.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"93% LEAN, 7% FAT ORGANIC GRASS-FED GROUND BEEF",Branded,49.0,0.0,11.5,0.0,3.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN/7% FAT 100% GRASS FED ANGUS GROUND BEEF,Branded,357.0,3.57,82.1,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT FRESH GROUND BEEF,Branded,367.0,13.3,73.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT FRESH GROUND BEEF,Branded,367.0,13.3,73.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT FRESH GROUND TURKEY,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GRASS FED GROUND BEEF,Branded,330.0,9.0,74.0,0.0,5.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GRASS FED ORGANIC GROUND BEEF,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN/7% FAT GROUND BEEF,Branded,333.0,3.33,76.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,333.0,10.0,73.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,367.0,10.0,73.3,1.67,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,333.0,10.0,73.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,333.0,10.0,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,33.0,13.3,73.3,0.0,3.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
93% LEAN/7% FAT GROUND BEEF,Branded,333.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,353.0,11.8,73.5,1.47,2.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF,Branded,355.0,9.68,74.2,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND BEEF PATTIES,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND TURKEY,Branded,333.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND TURKEY,Branded,333.0,10.0,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND TURKEY,Branded,333.0,10.0,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND TURKEY,Branded,333.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND TURKEY,Branded,333.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND TURKEY PATTIES,Branded,367.0,13.3,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT GROUND TURKEY PATTIES,Branded,355.0,9.68,74.2,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT LEAN GROUND BEEF,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
93% LEAN/7% FAT ORGANIC GROUND BEEF,Branded,333.0,10.0,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"94% FAT FREE BUTTER MICROWAVE POPCORN, 94% FAT FREE BUTTER",Branded,355.0,9.68,74.2,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"94% FAT FREE BUTTER MICROWAVE POPCORN, 94% FAT FREE BUTTER",Branded,355.0,9.68,74.2,0.0,3.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"94% FAT FREE BUTTER MICROWAVE POPCORN, 94% FAT FREE BUTTER",Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"94% FAT FREE BUTTER PREMIUM POPCORN, 94% FAT FREE BUTTER",Branded,367.0,13.3,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"94% FAT FREE MICROWAVE POPCORN, 94% FAT FREE",Branded,333.0,10.0,73.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
94% LEAN 6% FAT GROUND TURKEY PATTIES,Branded,367.0,13.3,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"94% LEAN, 6% FAT GROUND TURKEY",Branded,367.0,10.0,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"94% LEAN, 6% FAT GROUND TURKEY PATTIES",Branded,333.0,6.67,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
94% LEAN/6% FAT GROUND TURKEY,Branded,333.0,10.0,73.3,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
94% LEAN/6% FAT TURKEY BURGERS,Branded,333.0,10.0,73.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"95% AVOCADO GUACAMOLE, MILD",Branded,357.0,3.57,82.1,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
95% COCOA DARK CHOCOLATE,Branded,113.24,6.0,12.364999999999998,4.42,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
95% COCOA DARK CHOCOLATE,Branded,94.0,0.0,21.9,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
95% FAT FREE COOKED HAM,Branded,94.0,0.0,21.9,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"95% FAT FREE DRIED BEEF, 95% FAT FREE",Branded,94.0,0.0,21.9,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
95% FAT FREE GROUND & FORMED SLICED DRIED BEEF,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
95% FAT FREE TURKEY BREAST,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"95% FAT FREE UNCURED HONEY HAM, HONEY",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"95% G.T.'S KOMBUCHA , GREEN CHIA",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
95% LEAN 100% GRASS FED GROUND BEEF,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
95% LEAN GROUND PORK,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
95% LEAN | 5% FAT GROUND TURKEY,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96  MINI CONE COLOURED 2.4""",Branded,35.0,3.23,4.84,3.23,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 COATED TRENDY SH.BUTTER SWEET 2""",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 COATED TRENDY SH.CHOCO BUTTER 2""",Branded,393.0,0.0,17.9,35.7,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"96 FLOWER SHAPED WAFFLE CUP 3.75""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 FLOWER SHAPED WAFFLE CUP CHOCO 3.75""",Branded,34.0,4.0,4.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 FLUTED SHELL ROUND SWEET 2.25""",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 FLUTED TART ROUND SWEET FROZEN 2.25""",Branded,118.0,0.0,17.6,5.88,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 GLUTEN FREE ROUND NEUTRAL 1.6""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 MINI TRENDY SHELL NEUTRAL 2""",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 MINI TRENDY SHELL SWEET BUTTER 2""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SH. SQUARE CHOCO FROZEN 2.75""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SH. SQUARE SWEET FROZEN 2.75""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND CHOCO 2.75""",Branded,56.0,1.6,6.4,2.8,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND CHOCO BUTTER 2.75""",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND CHOCO BUTTER 3.2""",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND CHOCO FROZEN 2""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND CHOCO FROZEN 3.2""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND GRAHAM BUTTER 3.2""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND GRAHAM FROZEN 2""",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND NEUTRAL 2.75""",Branded,500.0,0.0,100.0,0.0,0.8,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"96 TRENDY SHELL ROUND SWEET BUTTER 2.75""",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL ROUND SWEET BUTTER 3.2""",Branded,125.0,3.12,28.1,0.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"96 TRENDY SHELL ROUND SWEET FROZEN 2""",Branded,139.0,0.0,33.3,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"96 TRENDY SHELL ROUND SWEET FROZEN 3.2""",Branded,143.0,0.0,34.3,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"96 TRENDY SHELL SQUARE CHOCO 2.75""",Branded,177.0,3.23,4.84,14.5,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"96 TRENDY SHELL SQUARE NEUTRAL 2.75""",Branded,167.0,20.0,46.7,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
96 TRENDY SHELL SQUARE SWEET BUTTER 2.75,Branded,48.0,1.6,8.0,0.8,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"96 TRENDY SHELL TRIANGLE CHOCO 3""",Branded,139.0,0.0,33.3,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"96 TRENDY SHELL TRIANGLE SWEET BUTTER 3""",Branded,188.0,0.0,43.8,0.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"96 TULIP SHAPED WAFFLE CUP 4""",Branded,188.0,0.0,43.8,0.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"96 WAFFLE CUP CHOCO 3""",Branded,219.0,0.0,53.1,0.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
96% FAT FREE CHOPPED HAM,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% FAT FREE COOKED HAM,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% FAT FREE COOKED HAM,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% FAT FREE COOKED HAM AND WATER PRODUCT,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% FAT FREE DELI STYLE THIN SHAVED ROAST BEEF,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% FAT FREE HONEY HAM,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% FAT FREE SUPER TRIM COOKED HAM,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% LEAN / 4% FAT ANGUS EXTRA LEAN ROUND BEEF PATTIES,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% LEAN 4% FAT FRESH GROUND CHICKEN,Branded,31.0,0.0,6.25,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% LEAN | 4% FAT FRESH GROUND CHICKEN,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% LEAN/4% FAT GROUND BEEF,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% LEAN/4% FAT GROUND BEEF,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% LEAN/4% FAT GROUND BEEF,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
96% LEAN/4% FAT GROUND BEEF,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"97% FAT FREE BLACK FOREST HAM PREMIUM DELI MEATS, BLACK FOREST HAM",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE COOKED HAM,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE COOKED HAM,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE COOKED HAM AND WATER PRODUCT,Branded,0.0,0.0,80.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE COOKED HAM WATER ADDED ,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"97% Fat Free Ground White Turkey Tray, 1 lb.",Branded,0.0,0.0,83.3,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"97% Fat Free Ground White Turkey Tray, Fresh, 1.25 lbs.",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"97% FAT FREE HONEY CURED HAM STEAK, HONEY",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE ROAST BEEF,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE ROAST BEEF,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE SLICED COOKED HAM,Branded,0.0,0.0,100.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE SLICED TURKEY BREAST,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"97% FAT FREE SMOKED HAM PREMIUM DELI MEATS, SMOKED",Branded,200.0,20.0,40.0,0.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
97% FAT FREE TURKEY BREAST,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% FAT FREE TURKEY BREAST,Branded,250.0,0.0,50.0,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
97% LEAN 100% GRASS FED GROUND BEEF,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
97% LEAN 3% FAT EXTRA LEAN GROUND WHITE TURKEY,Branded,500.0,0.0,100.0,0.0,0.8,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
98% FAT FREE BACON LOVERS TURKEY BREAST,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
98% FAT FREE BROWNED TURKEY BREAST,Branded,270.0,8.11,51.4,4.05,2.7,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
98% FAT FREE CHUNK WHITE CHICKEN IN WATER,Branded,32.0,4.0,4.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"98% FAT FREE CREAM OF MUSHROOM CONDENSED SOUP, CREAM OF MUSHROOM",Branded,33.0,6.67,6.67,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
98% FAT FREE FLOUR TORTILLAS,Branded,67.0,0.0,6.67,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"98% FAT FREE GOLDEN BROWNED TURKEY BREAST, GOLDEN BROWNED",Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
98% FAT FREE GROUND CHICKEN BREAST,Branded,40.0,6.0,4.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
98% FAT FREE PREMIUM CHUNK CHICKEN BREAST IN WATER WITH RIB MEAT,Branded,355.0,9.68,74.2,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
98% FAT FREE TENDER-BROWNED HOMESTYLE TURKEY BREAST,Branded,300.0,0.0,6.67,30.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
98% FAT FREE TURKEY BREAST,Branded,333.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
98% LEAN / 2% FAT GROUND TURKEY BREAST,Branded,367.0,10.0,76.7,0.0,3.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
99% EXTRA DARK COCOA BEANS,Branded,0.0,0.0,90.9,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
99% FAT FREE ARTISAN GOLDEN-ROASTED TURKEY BREAST,Branded,355.0,0.0,90.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"99% FAT FREE BEEF BROTH, BEEF",Branded,181.0,8.25,24.8,5.83,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"99% FAT FREE BEEF RAVIOLI IN TOMATO & MEAT SAUCE, 99% FAT FREE BEEF",Branded,180.0,7.53,26.8,5.02,1.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
99% FAT FREE CHICKEN BREAST,Branded,180.0,7.53,26.8,5.02,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"99% FAT FREE CHICKEN BROTH, CHICKEN",Branded,367.0,3.33,80.0,5.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
99% FAT FREE GROUND TURKEY BREAST,Branded,160.0,0.0,6.67,13.3,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
99% FAT FREE GROUND TURKEY BREAST,Branded,167.0,0.0,13.3,13.3,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"99% Fat Free Ground Turkey Breast Tray, 1.2 lbs",Branded,333.0,3.33,76.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"99% Fat Free Ground Turkey Breast Tray, Fresh, 1 lb.",Branded,333.0,3.33,76.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"99% FAT FREE MINESTRONE SOUP, VEGETABLE CLASSICS",Branded,333.0,3.33,73.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"99% FAT FREE ORIGINAL MIXED BERRY WITH NATURAL FLAVOR, MIXED BERRY",Branded,333.0,3.33,76.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"99% FAT FREE POTATO BREAD, POTATO",Branded,333.0,3.33,73.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"99% Fat Free Turkey Breast Cutlets 4 Count Tray, Fresh, 1.5 - 2.5 lbs.",Branded,516.0,9.68,58.1,29.0,3.2,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% Fat Free Turkey Breast Fillets,Branded,516.0,9.68,58.1,29.0,3.2,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% Fat Free Turkey Breast Roast,Branded,464.0,10.7,64.3,21.4,3.6,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% Fat Free Turkey Breast Tenderloins,Branded,516.0,9.68,58.1,29.0,3.2,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% FAT FREE VEGETARIAN WITH BEANS CHILI,Branded,464.0,10.7,64.3,21.4,3.6,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% LEAN  1% FAT GROUND TURKEY BREAST,Branded,500.0,3.57,64.3,25.0,3.6,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% LEAN 1% FAT EXTRA LEAN GROUND TURKEY BREAST,Branded,458.0,0.0,75.0,16.7,0.0,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% LEAN 1% FAT GROUND TURKEY,Branded,500.0,5.88,64.7,26.5,2.9,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% LEAN 1% FAT GROUND TURKEY BREAST,Branded,481.0,3.7,59.3,25.9,3.7,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
99% LEAN GROUND CHICKEN BREAST,Branded,121.0,9.05,18.1,0.5,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
99% LEAN | 1% FAT GROUND TURKEY BREAST,Branded,151.0,8.62,27.2,0.86,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
